GEO Dataset,Control SRR list 1,Control SRR list 2,H3K4me3 GEO,H3K4me3 SRR list,H3K27ac GEO,H3K27ac SRR list,H3K4me1 GEO,H3K4me1 SRR list,H3K27me3 GEO,H3K27me3 SRR list,H3K9me3 GEO,H3K9me3 SRR list,H3K36me3 GEO,H3K36me3 SRR list,Age,Age notes,Sex,"Cell line, primary cell, organoid, or tissue",Cell type class,Cell type,Cancer state,Disease (if any),Treatment (if any),Platform,SE or PE,biological replicate,technical replicate,biological or technical replicate,Study,Notes
GSE113702,SRR7067829,,,,GSM3112320,SRR7067827,,,,,,,,,,,,cell line,Lung,Tracheobronchial epithelial cells,,,H1N1_12h,Illumina HiSeq 4000,SE,,,,Flu infection study,
GSE113702,SRR7067829,,,,GSM3112321,SRR7067828,,,,,,,,,,,,cell line,Lung,Tracheobronchial epithelial cells,,,H1N1_12h,Illumina HiSeq 4000,SE,,,,Flu infection study,
GSE113702,SRR7067832,,,,GSM3112323,SRR7067830,,,,,,,,,,,,cell line,Lung,Tracheobronchial epithelial cells,,,H1N1_18h,Illumina HiSeq 4000,SE,,,,Flu infection study,
GSE113702,SRR7067832,,,,GSM3112324,SRR7067831,,,,,,,,,,,,cell line,Lung,Tracheobronchial epithelial cells,,,H1N1_18h,Illumina HiSeq 4000,SE,,,,Flu infection study,
GSE113702,SRR7067835,,,,GSM3112326,SRR7067833,,,,,,,,,,,,cell line,Lung,Tracheobronchial epithelial cells,,,H1N1_24h,Illumina HiSeq 4000,SE,,,,Flu infection study,
GSE113702,SRR7067835,,,,GSM3112327,SRR7067834,,,,,,,,,,,,cell line,Lung,Tracheobronchial epithelial cells,,,H1N1_24h,Illumina HiSeq 4000,SE,,,,Flu infection study,
GSE113702,SRR7067838,,,,GSM3112329,SRR7067836,,,,,,,,,,,,cell line,Lung,Tracheobronchial epithelial cells,,,H1N1_mock,Illumina HiSeq 4000,SE,,,,Flu infection study,
GSE113702,SRR7067838,,,,GSM3112330,SRR7067837,,,,,,,,,,,,cell line,Lung,Tracheobronchial epithelial cells,,,H1N1_mock,Illumina HiSeq 4000,SE,,,,Flu infection study,
GSE113702,SRR7067841,,,,GSM3112332,SRR7067839,,,,,,,,,,,,cell line,Lung,Tracheobronchial epithelial cells,,,H3N2_03h,Illumina HiSeq 4000,SE,,,,Flu infection study,
GSE113702,SRR7067841,,,,GSM3112333,SRR7067840,,,,,,,,,,,,cell line,Lung,Tracheobronchial epithelial cells,,,H3N2_03h,Illumina HiSeq 4000,SE,,,,Flu infection study,
GSE113702,SRR7067844,,,,GSM3112335,SRR7067842,,,,,,,,,,,,cell line,Lung,Tracheobronchial epithelial cells,,,H3N2_06h,Illumina HiSeq 4000,SE,,,,Flu infection study,
GSE113702,SRR7067844,,,,GSM3112336,SRR7067843,,,,,,,,,,,,cell line,Lung,Tracheobronchial epithelial cells,,,H3N2_06h,Illumina HiSeq 4000,SE,,,,Flu infection study,
GSE113702,SRR7067847,,,,GSM3112338,SRR7067845,,,,,,,,,,,,cell line,Lung,Tracheobronchial epithelial cells,,,H3N2_12h,Illumina HiSeq 4000,SE,,,,Flu infection study,
GSE113702,SRR7067847,,,,GSM3112339,SRR7067846,,,,,,,,,,,,cell line,Lung,Tracheobronchial epithelial cells,,,H3N2_12h,Illumina HiSeq 4000,SE,,,,Flu infection study,
GSE113702,SRR7067850,,,,GSM3112341,SRR7067848,,,,,,,,,,,,cell line,Lung,Tracheobronchial epithelial cells,,,H3N2_18h,Illumina HiSeq 4000,SE,,,,Flu infection study,
GSE113702,SRR7067850,,,,GSM3112342,SRR7067849,,,,,,,,,,,,cell line,Lung,Tracheobronchial epithelial cells,,,H3N2_18h,Illumina HiSeq 4000,SE,,,,Flu infection study,
GSE113702,SRR7067853,,,,GSM3112344,SRR7067851,,,,,,,,,,,,cell line,Lung,Tracheobronchial epithelial cells,,,H3N2_mock,Illumina HiSeq 4000,SE,,,,Flu infection study,
GSE113702,SRR7067853,,,,GSM3112345,SRR7067852,,,,,,,,,,,,cell line,Lung,Tracheobronchial epithelial cells,,,H3N2_mock,Illumina HiSeq 4000,SE,,,,Flu infection study,
GSE113702,SRR7067856,,,,GSM3112347,SRR7067854,,,,,,,,,,,,cell line,Lung,Tracheobronchial epithelial cells,,,H5N1_03h,Illumina HiSeq 4000,SE,,,,Flu infection study,
GSE113702,SRR7067857,,,,GSM3112348,SRR7067855,,,,,,,,,,,,cell line,Lung,Tracheobronchial epithelial cells,,,H5N1_03h,Illumina HiSeq 4000,SE,,,,Flu infection study,
GSE113702,SRR7067860,,,,GSM3112351,SRR7067858,,,,,,,,,,,,cell line,Lung,Tracheobronchial epithelial cells,,,H5N1_06h,Illumina HiSeq 4000,SE,,,,Flu infection study,
GSE113702,SRR7067861,,,,GSM3112352,SRR7067859,,,,,,,,,,,,cell line,Lung,Tracheobronchial epithelial cells,,,H5N1_06h,Illumina HiSeq 4000,SE,,,,Flu infection study,
GSE113702,SRR7067864,,,,GSM3112355,SRR7067862,,,,,,,,,,,,cell line,Lung,Tracheobronchial epithelial cells,,,H5N1_12h,Illumina HiSeq 4000,SE,,,,Flu infection study,
GSE113702,SRR7067865,,,,GSM3112356,SRR7067863,,,,,,,,,,,,cell line,Lung,Tracheobronchial epithelial cells,,,H5N1_12h,Illumina HiSeq 4000,SE,,,,Flu infection study,
GSE113702,SRR7067868,,,,GSM3112359,SRR7067866,,,,,,,,,,,,cell line,Lung,Tracheobronchial epithelial cells,,,H5N1_18h,Illumina HiSeq 4000,SE,,,,Flu infection study,
GSE113702,SRR7067869,,,,GSM3112360,SRR7067867,,,,,,,,,,,,cell line,Lung,Tracheobronchial epithelial cells,,,H5N1_18h,Illumina HiSeq 4000,SE,,,,Flu infection study,
GSE113702,SRR7067874,,,,GSM3112363,SRR7067870,,,,,,,,,,,,cell line,Lung,Tracheobronchial epithelial cells,,,H5N1_mock,Illumina HiSeq 4000,SE,,,,Flu infection study,
GSE113702,SRR7067875,,,,GSM3112364,SRR7067871,,,,,,,,,,,,cell line,Lung,Tracheobronchial epithelial cells,,,H5N1_mock,Illumina HiSeq 4000,SE,,,,Flu infection study,
GSE113818,SRR7079925,,GSM3120580,"SRR7079923	; SRR7079924",GSM3120578,SRR7079919; SRR7079920,GSM3120579,SRR7079921; SRR7079922,,,,,,,,,,cell line,Uterus,Ishikawa,,,estrogen,Illumina HiSeq 2500,SE,,,,estrogen study,
GSE113818,SRR7079932,,GSM3120584,SRR7079931; SRR7079930,GSM3120582,SRR7079926; SRR7079927,GSM3120583,SRR7079928; SRR7079929,,,,,,,,,,cell line,Uterus,Ishikawa,,,control,Illumina HiSeq 2500,SE,,,,estrogen study,
GSE113818,SRR7079939,,GSM3120588,SRR7079937; SRR7079938,GSM3120586,"SRR7079933	; SRR7079934",GSM3120587,"SRR7079935	; SRR7079936",,,,,,,,,,cell line,Uterus,JHUEM-14,,,estrogen,Illumina HiSeq 2500,SE,,,,estrogen study,
GSE113818,SRR7079946,,GSM3120592,SRR7079944; SRR7079945,GSM3120590,SRR7079940; SRR7079941,GSM3120591,SRR7079942; SRR7079943,,,,,,,,,,cell line,Uterus,JHUEM-14,,,control,Illumina HiSeq 2500,SE,,,,estrogen study,
GSE113879,SRR8313544,,GSM3510243,SRR8313548,,,,,,,GSM3510245,SRR8313550,,,,,,cell line,Liver,Hep G2,,control,,Illumina MiSeq,PE,1,,,hepatitis study,
GSE113879,SRR8313545,,GSM3510244,SRR8313549,,,,,,,GSM3510246,SRR8313551,,,,,,cell line,Liver,Hep G2,,control,,Illumina MiSeq,PE,2,,,hepatitis study,
GSE113879,SRR8313552,,GSM3510251,SRR8313556,,,,,,,GSM3510253,SRR8313558,,,,,,cell line,Liver,Hep G2,,HBV,,Illumina MiSeq,PE,1,,,hepatitis study,
GSE113879,SRR8313553,,GSM3510252,SRR8313557,,,,,,,GSM3510254,SRR8313559,,,,,,cell line,Liver,Hep G2,,HBV,,Illumina MiSeq,PE,2,,,hepatitis study,
GSE114106,SRR7126408,SRR7126409,,,GSM3132767,SRR7126403,,,,,,,,,,,,cell line,Blood,MOLM-13,,,control,Illumina HiSeq 2000,SE,,,1,FIS1 study,
GSE114106,SRR7126408,SRR7126409,,,GSM3132768,SRR7126404,,,,,,,,,,,,cell line,Blood,MOLM-13,,,control,Illumina HiSeq 2000,SE,,,2,FIS1 study,
GSE114106,SRR7126408,SRR7126409,,,GSM3132769,SRR7126405,,,,,,,,,,,,cell line,Blood,MOLM-13,,,control,Illumina HiSeq 2000,SE,,,3,FIS1 study,
GSE114106,SRR7126408,SRR7126409,,,GSM3132770,SRR7126406,,,,,,,,,,,,cell line,Blood,MOLM-13,,,FIS1 shRNA,Illumina HiSeq 2000,SE,,,1,FIS1 study,
GSE114106,SRR7126408,SRR7126409,,,GSM3132771,SRR7126407,,,,,,,,,,,,cell line,Blood,MOLM-13,,,FIS1 shRNA,Illumina HiSeq 2000,SE,,,2,FIS1 study,
GSE114106,SRR7126408,SRR7126409,,,GSM3132772,SRR7126408,,,,,,,,,,,,cell line,Blood,MOLM-13,,,FIS1 shRNA,Illumina HiSeq 2000,SE,,,3,FIS1 study,
GSE116344,SRR7442609,SRR7442618,,,GSM3229491,SRR7442611,,,,,,,,,,,,cell line,Muscle,RH-4,,,control,Illumina NextSeq 500,SE,,,,HDAC inhibition study,
GSE116344,SRR7442609,SRR7442618,,,GSM3229492,SRR7442612,,,,,,,,,,,,cell line,Muscle,RH-4,,,Entinostat 1h,Illumina NextSeq 500,SE,,,,HDAC inhibition study,
GSE116344,SRR7442609,SRR7442618,,,GSM3229493,SRR7442613,,,,,,,,,,,,cell line,Muscle,RH-4,,,Entinostat 6h,Illumina NextSeq 500,SE,,,,HDAC inhibition study,
GSE116344,SRR7442609,SRR7442618,,,GSM3831292,SRR9157072,,,,,,,,,,,,cell line,Muscle,RH-4,,,control,Illumina NextSeq 500,SE,,,,HDAC inhibition study,
GSE116344,SRR7442609,SRR7442618,,,GSM3831293,SRR9157073,,,,,,,,,,,,cell line,Muscle,RH-4,,,LW3,Illumina NextSeq 500,SE,,,,HDAC inhibition study,
GSE116344,SRR7442609,SRR7442618,,,GSM3831294,SRR9157074,,,,,,,,,,,,cell line,Muscle,RH-4,,,Merck60,Illumina NextSeq 500,SE,,,,HDAC inhibition study,
GSE117084,SRR7519601,,GSM3270931,SRR7519602,,,,,,,,,,,,,,cell line,Others,Mesenchymal stem cells,,,CBX4-/-,Illumina HiSeq 2500,PE,,,,CBX4 aging study,
GSE117084,SRR7519611,,GSM3270941,SRR7519612,,,,,,,,,,,,,,cell line,Others,Mesenchymal stem cells,,,CBX4+/+,Illumina HiSeq 2500,PE,,,,CBX4 aging study,
GSE117304,SRR7536842,,GSM3290791,SRR7536844,,,,,GSM3290790,SRR7536843,,,,,,,,cell line,Prostate,LNCAP,,,DHT 4 days,Illumina HiSeq 2500,SE,,,,DHT study,
GSE117304,SRR7536845,,GSM3290794,SRR7536847,,,,,GSM3290793,SRR7536846,,,,,,,,cell line,Prostate,LNCAP,,,EtOH 4 days,Illumina HiSeq 2500,SE,,,,DHT study,
GSE117304,SRR8816198,,GSM3692935,SRR8816200,,,,,GSM3692934,SRR8816199,,,,,,,,cell line,Prostate,LNCAP,,,DHT 42 days,Illumina HiSeq 2500,SE,,,,DHT study,
GSE117304,SRR8816201,,GSM3692938,SRR8816203,,,,,GSM3692937,SRR8816202,,,,,,,,cell line,Prostate,LNCAP,,,EtOH 42 days,Illumina HiSeq 2500,SE,,,,DHT study,
GSE118305,SRR7660754,,,,GSM3324468,SRR7660755,,,,,,,,,,,,cell line,Blood,Macrophages,,,mock,Illumina NextSeq 500,SE,,,,Zika infection study,donor 7
GSE118305,SRR7660754,,,,GSM3324469,SRR7660756,,,,,,,,,,,,cell line,Blood,Macrophages,,,Zika negative,Illumina NextSeq 500,SE,,,,Zika infection study,donor 7
GSE118305,SRR7660754,,,,GSM3324470,SRR7660757,,,,,,,,,,,,cell line,Blood,Macrophages,,,Zika positive,Illumina NextSeq 500,SE,,,,Zika infection study,donor 7
GSE118305,SRR7660758,,,,GSM3324472,SRR7660759,,,,,,,,,,,,cell line,Blood,Macrophages,,,mock,Illumina NextSeq 500,SE,,,,Zika infection study,donor 8
GSE118305,SRR7660758,,,,GSM3324473,SRR7660760,,,,,,,,,,,,cell line,Blood,Macrophages,,,Zika negative,Illumina NextSeq 500,SE,,,,Zika infection study,donor 8
GSE118305,SRR7660758,,,,GSM3324474,SRR7660761,,,,,,,,,,,,cell line,Blood,Macrophages,,,Zika positive,Illumina NextSeq 500,SE,,,,Zika infection study,donor 8
GSE118589,SRR7697609,,GSM3333917,SRR7697603,,,,,,,,,,,,,,cell line,Kidney,293,,,KDOPZ-25,Illumina NextSeq 500,PE,,,,demethylase inhibition study,
GSE118589,SRR7697610,,GSM3333918,SRR7697604,,,,,,,,,,,,,,cell line,Kidney,293,,,KDOPZ-32,Illumina NextSeq 500,PE,,,,demethylase inhibition study,
GSE118589,SRR7697611,,GSM3333919,SRR7697605,,,,,,,,,,,,,,cell line,Kidney,293,,,KDOPZ-34,Illumina NextSeq 500,PE,,,,demethylase inhibition study,
GSE118589,SRR7697612,,GSM3333920,SRR7697606,,,,,,,,,,,,,,cell line,Kidney,293,,,KDOPZ-36,Illumina NextSeq 500,PE,,,,demethylase inhibition study,
GSE118589,SRR7697613,,GSM3333921,SRR7697607,,,,,,,,,,,,,,cell line,Kidney,293,,,KDOPZ-55,Illumina NextSeq 500,PE,,,,demethylase inhibition study,
GSE118589,SRR7697614,,GSM3333922,SRR7697608,,,,,,,,,,,,,,cell line,Kidney,293,,,DMSO,Illumina NextSeq 500,PE,,,,demethylase inhibition study,
GSE119555,SRR7790705,,GSM3377517,SRR7790693,,,,,,,,,,,,,,cell line,Blood,THP-1,,,2h EtOH,Illumina HiSeq 2000,SE,,,1,vitamin D study,
GSE119555,SRR7790705,,GSM3377518,SRR7790694,,,,,,,,,,,,,,cell line,Blood,THP-1,,,2h D3,Illumina HiSeq 2000,SE,,,1,vitamin D study,
GSE119555,SRR7790705,,GSM3377519,SRR7790695,,,,,,,,,,,,,,cell line,Blood,THP-1,,,2h EtOH,Illumina HiSeq 2000,SE,,,2,vitamin D study,
GSE119555,SRR7790705,,GSM3377520,SRR7790696,,,,,,,,,,,,,,cell line,Blood,THP-1,,,2h D3,Illumina HiSeq 2000,SE,,,2,vitamin D study,
GSE119555,SRR7790705,,GSM3377521,SRR7790697,,,,,,,,,,,,,,cell line,Blood,THP-1,,,2h EtOH,Illumina HiSeq 2000,SE,,,3,vitamin D study,
GSE119555,SRR7790705,,GSM3377522,SRR7790698,,,,,,,,,,,,,,cell line,Blood,THP-1,,,2h D3,Illumina HiSeq 2000,SE,,,3,vitamin D study,
GSE119555,SRR7790705,,GSM3377523,SRR7790699,,,,,,,,,,,,,,cell line,Blood,THP-1,,,8h EtOH,Illumina HiSeq 2000,SE,,,1,vitamin D study,
GSE119555,SRR7790705,,GSM3377524,SRR7790700,,,,,,,,,,,,,,cell line,Blood,THP-1,,,8h D3,Illumina HiSeq 2000,SE,,,1,vitamin D study,
GSE119555,SRR7790705,,GSM3377525,SRR7790701,,,,,,,,,,,,,,cell line,Blood,THP-1,,,8h EtOH,Illumina HiSeq 2000,SE,,,2,vitamin D study,
GSE119555,SRR7790705,,GSM3377526,SRR7790702,,,,,,,,,,,,,,cell line,Blood,THP-1,,,8h D3,Illumina HiSeq 2000,SE,,,2,vitamin D study,
GSE119555,SRR7790705,,GSM3377527,SRR7790703,,,,,,,,,,,,,,cell line,Blood,THP-1,,,8h EtOH,Illumina HiSeq 2000,SE,,,3,vitamin D study,
GSE119555,SRR7790705,,GSM3377528,SRR7790704,,,,,,,,,,,,,,cell line,Blood,THP-1,,,8h D3,Illumina HiSeq 2000,SE,,,3,vitamin D study,
GSE120339,SRR7892700,,GSM3398459,SRR7892688,,,,,,,,,GSM3398465,SRR7892694,,,,cell line,Uterus,HeLa,,,normoxia,Illumina HiSeq 2000,SE,1,,,hypoxia study,
GSE120339,SRR7892701,,GSM3398460,SRR7892689,,,,,,,,,GSM3398466,SRR7892695,,,,cell line,Uterus,HeLa,,,normoxia,Illumina HiSeq 2000,SE,2,,,hypoxia study,
GSE120339,SRR7892702,,GSM3398461,SRR7892690,,,,,,,,,GSM3398467,SRR7892696,,,,cell line,Uterus,HeLa,,,normoxia,Illumina HiSeq 2000,SE,3,,,hypoxia study,
GSE120339,SRR7892703,,GSM3398462,SRR7892691,,,,,,,,,GSM3398468,SRR7892697,,,,cell line,Uterus,HeLa,,,hypoxia,Illumina HiSeq 2000,SE,1,,,hypoxia study,
GSE120339,SRR7892704,,GSM3398463,SRR7892692,,,,,,,,,GSM3398469,SRR7892698,,,,cell line,Uterus,HeLa,,,hypoxia,Illumina HiSeq 2000,SE,2,,,hypoxia study,
GSE120339,SRR7892705,,GSM3398464,SRR7892693,,,,,,,,,GSM3398470,SRR7892699,,,,cell line,Uterus,HeLa,,,hypoxia,Illumina HiSeq 2000,SE,3,,,hypoxia study,
GSE121890,SRR8126363,,GSM3449578,SRR8126365,GSM3449580,SRR8126367,,,,,,,,,,,,cell line,Cardiovascular,HUVEC,,,control,Illumina HiSeq 2000,SE,,,,TNF study,
GSE121890,SRR8126364,,GSM3449579,SRR8126366,GSM3449581,SRR8126368,,,,,,,,,,,,cell line,Cardiovascular,HUVEC,,,TNF 30 min,Illumina HiSeq 2000,SE,,,,TNF study,
GSE121890,SRR10875512,,GSM4260790,SRR10875514,GSM4260792,SRR10875516,,,,,,,,,,,,cell line,Cardiovascular,HUVEC,,,control,Illumina HiSeq 2000,SE,,,1,TNF study,
GSE121890,SRR10875513,,GSM4260791,SRR10875515,GSM4260793,SRR10875517,,,,,,,,,,,,cell line,Cardiovascular,HUVEC,,,TNF 60 min,Illumina HiSeq 2000,SE,,,1,TNF study,
GSE121890,SRR10875518,,GSM4260796,SRR10875520,GSM4260798,SRR10875522,,,,,,,,,,,,cell line,Cardiovascular,HUVEC,,,control,Illumina HiSeq 2000,SE,,,2,TNF study,
GSE121890,SRR10875519,,GSM4260797,SRR10875521,GSM4260799,SRR10875523,,,,,,,,,,,,cell line,Cardiovascular,HUVEC,,,TNF 60 min,Illumina HiSeq 2000,SE,,,2,TNF study,
GSE122128,SRR8156027,,GSM3455892,SRR8156023,GSM3455884,SRR8156015,GSM3455888,SRR8156019,GSM3455880,SRR8156011,,,,,,,,cell line,Pluripotent stem cell,hESC H9,,,control,Illumina NextSeq 500,SE,,,1,p63 study,
GSE122128,SRR8156027,,GSM3455893,SRR8156024,GSM3455885,SRR8156016,GSM3455889,SRR8156020,GSM3455881,SRR8156012,,,,,,,,cell line,Pluripotent stem cell,hESC H9,,,control,Illumina NextSeq 500,SE,,,2,p63 study,
GSE122128,SRR8156027,,GSM3455894,SRR8156025,GSM3455886,SRR8156017,GSM3455890,SRR8156021,GSM3455882,SRR8156013,,,,,,,,cell line,Pluripotent stem cell,hESC H9,,,p63 KO,Illumina NextSeq 500,SE,,,1,p63 study,
GSE122128,SRR8156027,,GSM3455895,SRR8156026,GSM3455887,SRR8156018,GSM3455891,SRR8156022,GSM3455883,SRR8156014,,,,,,,,cell line,Pluripotent stem cell,hESC H9,,,p63 KO,Illumina NextSeq 500,SE,,,2,p63 study,
GSE124128,SRR8354674; SRR8354673,,GSM3521316,"SRR8354670, SRR8354669",GSM3521314,SRR8354665; SRR8354666,,,,,GSM3521315,SRR8354667; SRR8354668,,,,,,cell line,Pluripotent stem cell,NCCIT,,,control,Illumina HiSeq 4000,PE,,,,transposon study,
GSE124128,SRR8354684; SRR8354683,,GSM3521321,"SRR8354680, SRR8354679",GSM3521319,SRR8354675; SRR8354676,,,,,GSM3521320,SRR8354677; SRR8354678,,,,,,cell line,Pluripotent stem cell,NCCIT,,,LTR5HS_Sp_VPR,Illumina HiSeq 4000,PE,,,,transposon study,
GSE124128,SRR8354694; SRR8354693,,GSM3521326,"SRR8354690, SRR8354689",GSM3521324,SRR8354685; SRR8354686,,,,,GSM3521325,SRR8354687; SRR8354688,,,,,,cell line,Pluripotent stem cell,NCCIT,,,LTR5HS_Sp_KRAB,Illumina HiSeq 4000,PE,,,,transposon study,
GSE124801,SRR8422172,,GSM3554238,SRR8422147,GSM3554218,SRR8422127,,,GSM3554228,SRR8422137,GSM3554248,SRR8422157,,,,,,cell line,Blood,THP-1,,,HSV 1h,HiSeq X Ten,PE,1,,,HSV infection study,
GSE124801,SRR8422173,,GSM3554239,SRR8422148,GSM3554219,SRR8422128,,,GSM3554229,SRR8422138,GSM3554249,SRR8422158,,,,,,cell line,Blood,THP-1,,,HSV 1h,HiSeq X Ten,PE,2,,,HSV infection study,
GSE124801,SRR8422175,,GSM3554240,SRR8422149,GSM3554220,SRR8422129,,,GSM3554230,SRR8422139,GSM3554250,SRR8422159,,,,,,cell line,Blood,THP-1,,,HSV 2h,HiSeq X Ten,PE,1,,,HSV infection study,
GSE124801,SRR8422176,,GSM3554241,SRR8422150,GSM3554221,SRR8422130,,,GSM3554231,SRR8422140,GSM3554251,SRR8422160,,,,,,cell line,Blood,THP-1,,,HSV 2h,HiSeq X Ten,PE,2,,,HSV infection study,
GSE124801,SRR8422178,,GSM3554242,SRR8422151,GSM3554222,SRR8422131,,,GSM3554232,SRR8422141,GSM3554252,SRR8422161,,,,,,cell line,Blood,THP-1,,,HSV 4h,HiSeq X Ten,PE,1,,,HSV infection study,
GSE124801,SRR8422179,,GSM3554243,SRR8422152,GSM3554223,SRR8422132,,,GSM3554233,SRR8422142,GSM3554253,SRR8422162,,,,,,cell line,Blood,THP-1,,,HSV 4h,HiSeq X Ten,PE,2,,,HSV infection study,
GSE124801,SRR8422181,,GSM3554244,SRR8422153,GSM3554224,SRR8422133,,,GSM3554234,SRR8422143,GSM3554254,SRR8422163,,,,,,cell line,Blood,THP-1,,,HSV 8h,HiSeq X Ten,PE,1,,,HSV infection study,
GSE124801,SRR8422182,,GSM3554245,SRR8422154,GSM3554225,SRR8422134,,,GSM3554235,SRR8422144,GSM3554255,SRR8422164,,,,,,cell line,Blood,THP-1,,,HSV 8h,HiSeq X Ten,PE,2,,,HSV infection study,
GSE124801,SRR8422184,,GSM3554246,SRR8422155,GSM3554226,SRR8422135,,,GSM3554236,SRR8422145,GSM3554256,SRR8422165,,,,,,cell line,Blood,THP-1,,,HSV 24h,HiSeq X Ten,PE,1,,,HSV infection study,
GSE124801,SRR8422185,,GSM3554247,SRR8422156,GSM3554227,SRR8422136,,,GSM3554237,SRR8422146,GSM3554257,SRR8422166,,,,,,cell line,Blood,THP-1,,,HSV 24h,HiSeq X Ten,PE,2,,,HSV infection study,
GSE124877,SRR8428290,,,,GSM3557804,SRR8428291,,,,,,,,,,,,cell line,Neural,U-87 MG,,,control,Illumina Genome Analyzer,SE,,,,HDAC inhibition study,
GSE124877,SRR8428292,,,,GSM3557806,SRR8428293,,,,,,,,,,,,cell line,Neural,U-87 MG,,,panobinostat,Illumina Genome Analyzer,SE,,,,HDAC inhibition study,
GSE124877,SRR8428294,,,,GSM3557808,SRR8428295,,,,,,,,,,,,cell line,Neural,LN-229,,,control,Illumina Genome Analyzer,SE,,,,HDAC inhibition study,
GSE124877,SRR8428296,,,,GSM3557810,SRR8428297,,,,,,,,,,,,cell line,Neural,LN-229,,,panobinostat,Illumina Genome Analyzer,SE,,,,HDAC inhibition study,
GSE124877,SRR8452293,,,,GSM3567621,SRR8452294,,,,,,,,,,,,cell line,Neural,NCH644,,,control,Illumina Genome Analyzer,SE,,,,HDAC inhibition study,
GSE124877,SRR8452295,,,,GSM3567623,SRR8452296,,,,,,,,,,,,cell line,Neural,NCH644,,,panobinostat,Illumina Genome Analyzer,SE,,,,HDAC inhibition study,
GSE126004,"SRR8520932	; SRR8520933; SRR8520934; SRR8520935; SRR8520936; SRR8520937","SRR8520956	; SRR8520957; SRR8520958; SRR8520959; SRR8520960; SRR8520961",,,GSM3587817,SRR8520884; SRR8520885; SRR8520886,,,,,,,,,,,,cell line,Breast,T-47D,,,control,Illumina HiSeq 4000,SE,,,,IL6 study,
GSE126004,SRR8520944; SRR8520945; SRR8520946; SRR8520947; SRR8520948; SRR8520949,SRR8520968; SRR8520969; SRR8520970; SRR8520971; SRR8520972; SRR8520973,,,GSM3587818,SRR8520887; SRR8520888; SRR8520889,,,,,,,,,,,,cell line,Breast,T-47D,,,IL6,Illumina HiSeq 4000,SE,,,,IL6 study,
GSE126004,"SRR8520932	; SRR8520933; SRR8520934; SRR8520935; SRR8520936; SRR8520937","SRR8520956	; SRR8520957; SRR8520958; SRR8520959; SRR8520960; SRR8520961",,,GSM3587821,SRR8520896; SRR8520897; SRR8520898,,,,,,,,,,,,cell line,Breast,T-47D,,,control,Illumina HiSeq 4000,SE,,,,IL6 study,
GSE126004,SRR8520944; SRR8520945; SRR8520946; SRR8520947; SRR8520948; SRR8520949,SRR8520968; SRR8520969; SRR8520970; SRR8520971; SRR8520972; SRR8520973,,,GSM3587822,SRR8520899; SRR8520900; SRR8520901,,,,,,,,,,,,cell line,Breast,T-47D,,,IL6,Illumina HiSeq 4000,SE,,,,IL6 study,
GSE126004,"SRR8520932	; SRR8520933; SRR8520934; SRR8520935; SRR8520936; SRR8520937","SRR8520956	; SRR8520957; SRR8520958; SRR8520959; SRR8520960; SRR8520961",,,GSM3587825,SRR8520908; SRR8520909; SRR8520910,,,,,,,,,,,,cell line,Breast,T-47D,,,control,Illumina HiSeq 4000,SE,,,,IL6 study,
GSE126004,SRR8520944; SRR8520945; SRR8520946; SRR8520947; SRR8520948; SRR8520949,SRR8520968; SRR8520969; SRR8520970; SRR8520971; SRR8520972; SRR8520973,,,GSM3587826,SRR8520911; SRR8520912; SRR8520913,,,,,,,,,,,,cell line,Breast,T-47D,,,IL6,Illumina HiSeq 4000,SE,,,,IL6 study,
GSE126004,"SRR8520932	; SRR8520933; SRR8520934; SRR8520935; SRR8520936; SRR8520937","SRR8520956	; SRR8520957; SRR8520958; SRR8520959; SRR8520960; SRR8520961",,,GSM3587829,SRR8520920; SRR8520921; SRR8520922,,,,,,,,,,,,cell line,Breast,T-47D,,,control,Illumina HiSeq 4000,SE,,,,IL6 study,
GSE126004,SRR8520944; SRR8520945; SRR8520946; SRR8520947; SRR8520948; SRR8520949,SRR8520968; SRR8520969; SRR8520970; SRR8520971; SRR8520972; SRR8520973,,,GSM3587830,SRR8520923; SRR8520924; SRR8520925,,,,,,,,,,,,cell line,Breast,T-47D,,,IL6,Illumina HiSeq 4000,SE,,,,IL6 study,
GSE127766,SRR8662669,,GSM3638376,SRR8662670,,,,,,,,,,,,,,primary cell,Blood,Th17 Cells,,,48h DMSO,Illumina NextSeq 500,SE,,,,demethylase inhibition study,donor 1
GSE127766,SRR8662669,,GSM3638377,SRR8662671,,,,,,,,,,,,,,primary cell,Blood,Th17 Cells,,,48h GSK-J4,Illumina NextSeq 500,SE,,,,demethylase inhibition study,donor 1
GSE127766,SRR8662672,,GSM3638379,SRR8662673,,,,,,,,,,,,,,primary cell,Blood,Th17 Cells,,,48h DMSO,Illumina NextSeq 500,SE,,,,demethylase inhibition study,donor 2
GSE127766,SRR8662672,,GSM3638380,SRR8662674,,,,,,,,,,,,,,primary cell,Blood,Th17 Cells,,,48h GSK-J4,Illumina NextSeq 500,SE,,,,demethylase inhibition study,donor 2
GSE127766,SRR8662675,,GSM3638382,SRR8662676,,,,,,,,,,,,,,primary cell,Blood,Th17 Cells,,,48h DMSO,Illumina NextSeq 500,SE,,,,demethylase inhibition study,donor 3
GSE127766,SRR8662675,,GSM3638383,SRR8662677,,,,,,,,,,,,,,primary cell,Blood,Th17 Cells,,,48h GSK-J4,Illumina NextSeq 500,SE,,,,demethylase inhibition study,donor 3
